snapshot,run,cost,path,time_s,mean_cost,std_cost,total_aco_time_s
48,1,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,0.9989922046661377,0.043342987330754576,0.024312454667891732,44.06177473068237
48,2,0.028532237529754638,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 13 → 14 → 15,1.086611270904541,0.043342987330754576,0.024312454667891732,44.06177473068237
48,3,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.288752794265747,0.043342987330754576,0.024312454667891732,44.06177473068237
48,4,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,0.978461503982544,0.043342987330754576,0.024312454667891732,44.06177473068237
48,5,0.028532237529754638,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 13 → 14 → 15,0.8563740253448486,0.043342987330754576,0.024312454667891732,44.06177473068237
48,6,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,0.7791011333465576,0.043342987330754576,0.024312454667891732,44.06177473068237
48,7,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.1452791690826416,0.043342987330754576,0.024312454667891732,44.06177473068237
48,8,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.8545398712158203,0.043342987330754576,0.024312454667891732,44.06177473068237
48,9,0.01856386661529541,1 → 2 → 18 → 19 → 20 → 11 → 12 → 13 → 14 → 15,1.2990896701812744,0.043342987330754576,0.024312454667891732,44.06177473068237
48,10,0.028532237529754638,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 13 → 14 → 15,2.221588611602783,0.043342987330754576,0.024312454667891732,44.06177473068237
48,11,0.02514868974685669,1 → 2 → 18 → 19 → 20 → 11 → 12 → 13 → 8 → 7 → 16 → 15,2.105252265930176,0.043342987330754576,0.024312454667891732,44.06177473068237
48,12,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.780261516571045,0.043342987330754576,0.024312454667891732,44.06177473068237
48,13,0.02514868974685669,1 → 2 → 18 → 19 → 20 → 11 → 12 → 13 → 8 → 7 → 16 → 15,1.6381518840789795,0.043342987330754576,0.024312454667891732,44.06177473068237
48,14,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.857550859451294,0.043342987330754576,0.024312454667891732,44.06177473068237
48,15,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.4883334636688232,0.043342987330754576,0.024312454667891732,44.06177473068237
48,16,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.402482032775879,0.043342987330754576,0.024312454667891732,44.06177473068237
48,17,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.5574285984039307,0.043342987330754576,0.024312454667891732,44.06177473068237
48,18,0.028532237529754638,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 13 → 14 → 15,1.6294686794281006,0.043342987330754576,0.024312454667891732,44.06177473068237
48,19,0.02514868974685669,1 → 2 → 18 → 19 → 20 → 11 → 12 → 13 → 8 → 7 → 16 → 15,1.5841443538665771,0.043342987330754576,0.024312454667891732,44.06177473068237
48,20,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.8360810279846191,0.043342987330754576,0.024312454667891732,44.06177473068237
48,21,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.6466789245605469,0.043342987330754576,0.024312454667891732,44.06177473068237
48,22,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.3719151020050049,0.043342987330754576,0.024312454667891732,44.06177473068237
48,23,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.437389850616455,0.043342987330754576,0.024312454667891732,44.06177473068237
48,24,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.4320132732391357,0.043342987330754576,0.024312454667891732,44.06177473068237
48,25,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.6379005908966064,0.043342987330754576,0.024312454667891732,44.06177473068237
48,26,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.431985855102539,0.043342987330754576,0.024312454667891732,44.06177473068237
48,27,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.2937090396881104,0.043342987330754576,0.024312454667891732,44.06177473068237
48,28,0.030893892765045165,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 7 → 16 → 15,1.535905122756958,0.043342987330754576,0.024312454667891732,44.06177473068237
48,29,0.08274973630905151,1 → 2 → 18 → 17 → 16 → 15,1.3343479633331299,0.043342987330754576,0.024312454667891732,44.06177473068237
48,30,0.028532237529754638,1 → 2 → 18 → 19 → 20 → 11 → 10 → 9 → 8 → 13 → 14 → 15,1.5519840717315674,0.043342987330754576,0.024312454667891732,44.06177473068237
