snapshot,run,cost,path,mean,std,time,algorithm,lsd_link_load,mean_network_delay,route_delay,route_load
9,1,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,3.6445086002349854,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,2,0.015874207019805908,15 → 16 → 7 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,3.1087870597839355,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,3,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.756037473678589,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,4,0.015874207019805908,15 → 16 → 7 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.754460096359253,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,5,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.825232982635498,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,6,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.8157970905303955,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,7,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.8826780319213867,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,8,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.7498483657836914,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,9,0.015874207019805908,15 → 16 → 7 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.833913564682007,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
9,10,0.015874207019805908,15 → 16 → 7 → 8 → 9 → 10 → 3 → 2 → 1,0.016623528798421223,0.0004595826624930037,2.692877769470215,ACO,1.6553500920722327e-05,0.006815976426408098,0.03128817081451416,9.76e-05
