snapshot,run,cost,path,mean,std,time,algorithm,lsd_link_load,mean_network_delay,route_delay,route_load
9,1,0.027348756790161133,15 → 14 → 13 → 8 → 9 → 10 → 11 → 20 → 19 → 18 → 2 → 1,0.017452423175175983,0.0021885710473068163,3.150230646133423,ACO2,1.6553500920722327e-05,0.006815976426408098,0.09210228061676025,0.0002512
9,2,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.803356170654297,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,3,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.1153433322906494,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,4,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.524463653564453,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,5,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.152435302734375,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,6,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,1.9219341278076172,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,7,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.2910256385803223,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,8,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.644148826599121,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,9,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,3.170339584350586,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,10,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.8631393909454346,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,11,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.248687267303467,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,12,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.124915361404419,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,13,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.1813106536865234,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,14,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.0775368213653564,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,15,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.17779803276062,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,16,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.3279905319213867,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,17,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.839798927307129,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,18,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.3471734523773193,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,19,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.5968072414398193,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,20,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.1855106353759766,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,21,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,2.678217887878418,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
9,22,0.023135673999786378,15 → 16 → 17 → 18 → 2 → 1,0.017452423175175983,0.0021885710473068163,3.1288890838623047,ACO2,1.6553500920722327e-05,0.006815976426408098,0.0643222246170044,8.8e-05
9,23,0.01689600944519043,15 → 14 → 13 → 8 → 9 → 10 → 3 → 2 → 1,0.017452423175175983,0.0021885710473068163,4.9885783195495605,ACO2,1.6553500920722327e-05,0.006815976426408098,0.04355308151245117,0.00023040000000000002
